make,model,year,complaintCount,riskFactor
Ford,Mustang,2015,547,1.05
Ford,Mustang,2016,439,1.05
Ford,Mustang,2017,283,1.0
Ford,Mustang,2018,165,1.0
Ford,Mustang,2019,127,0.95
Ford,Mustang,2020,109,0.95
Ford,Mustang,2021,34,0.9
Ford,Mustang,2022,38,0.9
Ford,Mustang,2023,23,0.9
Ford,Mustang,2024,44,0.9
Genesis,G80,2017,70,0.95
Genesis,G80,2018,86,0.95
Genesis,G80,2019,24,0.9
Genesis,G80,2020,8,0.9
Genesis,G80,2021,10,0.9
Genesis,G80,2022,5,0.9
Genesis,G80,2023,5,0.9
Genesis,G80,2024,1,0.9
Genesis,GV70,2022,105,0.95
Genesis,GV70,2023,68,0.95
Genesis,GV70,2024,8,0.9
Genesis,GV80,2021,55,0.95
Genesis,GV80,2022,43,0.9
Genesis,GV80,2023,34,0.9
Genesis,GV80,2024,13,0.9
GMC,Acadia,2010,432,1.05
GMC,Acadia,2011,368,1.05
GMC,Acadia,2012,372,1.05
GMC,Acadia,2013,181,1.0
GMC,Acadia,2014,553,1.05
GMC,Acadia,2015,285,1.0
GMC,Acadia,2016,247,1.0
GMC,Acadia,2017,805,1.1
GMC,Acadia,2018,385,1.05
GMC,Acadia,2019,314,1.05
GMC,Acadia,2020,81,0.95
GMC,Acadia,2021,107,0.95
GMC,Acadia,2022,34,0.9
GMC,Acadia,2023,31,0.9
GMC,Acadia,2024,21,0.9
GMC,Canyon,2010,9,0.9
GMC,Canyon,2011,20,0.9
GMC,Canyon,2012,28,0.9
GMC,Canyon,2015,372,1.05
GMC,Canyon,2016,300,1.0
GMC,Canyon,2017,84,0.95
GMC,Canyon,2018,61,0.95
GMC,Canyon,2019,16,0.9
GMC,Canyon,2020,15,0.9
GMC,Canyon,2021,9,0.9
GMC,Canyon,2022,25,0.9
GMC,Canyon,2023,60,0.95
GMC,Canyon,2024,196,1.0
GMC,Sierra,2010,42,0.9
GMC,Sierra,2011,67,0.95
GMC,Sierra,2012,46,0.9
GMC,Sierra,2013,46,0.9
GMC,Sierra,2014,132,0.95
GMC,Sierra,2015,66,0.95
GMC,Sierra,2016,8,0.9
GMC,Sierra,2017,77,0.95
GMC,Terrain,2010,420,1.05
GMC,Terrain,2011,552,1.05
GMC,Terrain,2012,484,1.05
GMC,Terrain,2013,472,1.05
GMC,Terrain,2014,368,1.05
GMC,Terrain,2015,360,1.05
GMC,Terrain,2016,151,1.0
GMC,Terrain,2017,134,0.95
GMC,Terrain,2018,262,1.0
GMC,Terrain,2019,196,1.0
GMC,Terrain,2020,156,1.0
GMC,Terrain,2021,24,0.9
GMC,Terrain,2022,9,0.9
GMC,Terrain,2023,14,0.9
GMC,Terrain,2024,13,0.9
GMC,Yukon,2010,147,0.95
GMC,Yukon,2011,213,1.0
GMC,Yukon,2012,84,0.95
GMC,Yukon,2013,141,0.95
GMC,Yukon,2014,72,0.95
GMC,Yukon,2015,647,1.1
GMC,Yukon,2016,323,1.05
GMC,Yukon,2017,191,1.0
GMC,Yukon,2018,57,0.95
GMC,Yukon,2019,32,0.9
GMC,Yukon,2020,12,0.9
GMC,Yukon,2021,125,0.95
GMC,Yukon,2022,52,0.95
GMC,Yukon,2023,29,0.9
GMC,Yukon,2024,5,0.9
Honda,Accord,2010,692,1.1
Honda,Accord,2011,348,1.05
Honda,Accord,2012,489,1.05
Honda,Accord,2013,1738,1.15
Honda,Accord,2014,1313,1.15
Honda,Accord,2015,748,1.1
Honda,Accord,2016,630,1.1
Honda,Accord,2017,599,1.05
Honda,Accord,2018,1926,1.15
Honda,Accord,2019,660,1.1
Honda,Accord,2020,276,1.0
Honda,Accord,2021,140,0.95
Honda,Accord,2022,111,0.95
Honda,Accord,2023,55,0.95
Honda,Accord,2024,42,0.9
Honda,Civic,2010,481,1.05
Honda,Civic,2011,216,1.0
Honda,Civic,2012,591,1.05
Honda,Civic,2013,405,1.05
Honda,Civic,2014,357,1.05
Honda,Civic,2015,437,1.05
Honda,Civic,2016,1169,1.15
Honda,Civic,2017,625,1.1
Honda,Civic,2018,657,1.1
Honda,Civic,2019,399,1.05
Honda,Civic,2020,208,1.0
Honda,Civic,2021,124,0.95
Honda,Civic,2022,1041,1.15
Honda,Civic,2023,272,1.0
Honda,Civic,2024,96,0.95
Honda,CR-V,2010,571,1.05
Honda,CR-V,2011,621,1.1
Honda,CR-V,2012,471,1.05
Honda,CR-V,2013,469,1.05
Honda,CR-V,2014,765,1.1
Honda,CR-V,2015,933,1.1
Honda,CR-V,2016,498,1.05
Honda,CR-V,2017,2274,1.2
Honda,CR-V,2018,2344,1.2
Honda,CR-V,2019,1185,1.15
Honda,CR-V,2020,288,1.0
Honda,CR-V,2021,216,1.0
Honda,CR-V,2022,136,0.95
Honda,CR-V,2023,489,1.05
Honda,CR-V,2024,288,1.0
Honda,HR-V,2016,279,1.0
Honda,HR-V,2017,129,0.95
Honda,HR-V,2018,125,0.95
Honda,HR-V,2019,203,1.0
Honda,HR-V,2020,60,0.95
Honda,HR-V,2021,42,0.9
Honda,HR-V,2022,76,0.95
Honda,HR-V,2023,756,1.1
Honda,HR-V,2024,90,0.95
Honda,Odyssey,2010,328,1.05
Honda,Odyssey,2011,280,1.0
Honda,Odyssey,2012,310,1.05
Honda,Odyssey,2013,247,1.0
Honda,Odyssey,2014,369,1.05
Honda,Odyssey,2015,228,1.0
Honda,Odyssey,2016,295,1.0
Honda,Odyssey,2017,32,0.9
Honda,Odyssey,2018,1003,1.15
Honda,Odyssey,2019,781,1.1
Honda,Odyssey,2020,339,1.05
Honda,Odyssey,2021,98,0.95
Honda,Odyssey,2022,104,0.95
Honda,Odyssey,2023,71,0.95
Honda,Odyssey,2024,13,0.9
Honda,Pilot,2010,139,0.95
Honda,Pilot,2011,375,1.05
Honda,Pilot,2012,217,1.0
Honda,Pilot,2013,351,1.05
Honda,Pilot,2014,134,0.95
Honda,Pilot,2015,118,0.95
Honda,Pilot,2016,1903,1.15
Honda,Pilot,2017,1028,1.15
Honda,Pilot,2018,500,1.05
Honda,Pilot,2019,941,1.1
Honda,Pilot,2020,532,1.05
Honda,Pilot,2021,358,1.05
Honda,Pilot,2022,103,0.95
Honda,Pilot,2023,82,0.95
Honda,Pilot,2024,60,0.95
Honda,Ridgeline,2010,49,0.9
Honda,Ridgeline,2011,41,0.9
Honda,Ridgeline,2012,28,0.9
Honda,Ridgeline,2013,52,0.95
Honda,Ridgeline,2014,34,0.9
Honda,Ridgeline,2015,1,0.9
Honda,Ridgeline,2017,355,1.05
Honda,Ridgeline,2018,162,1.0
Honda,Ridgeline,2019,224,1.0
Honda,Ridgeline,2020,153,1.0
Honda,Ridgeline,2021,96,0.95
Honda,Ridgeline,2022,104,0.95
Honda,Ridgeline,2023,105,0.95
Honda,Ridgeline,2024,23,0.9
Hyundai,Elantra,2010,480,1.05
Hyundai,Elantra,2011,576,1.05
Hyundai,Elantra,2012,890,1.1
Hyundai,Elantra,2013,1784,1.15
Hyundai,Elantra,2014,518,1.05
Hyundai,Elantra,2015,317,1.05
Hyundai,Elantra,2016,341,1.05
Hyundai,Elantra,2017,952,1.1
Hyundai,Elantra,2018,322,1.05
Hyundai,Elantra,2019,232,1.0
Hyundai,Elantra,2020,224,1.0
Hyundai,Elantra,2021,168,1.0
Hyundai,Elantra,2022,91,0.95
Hyundai,Elantra,2023,93,0.95
Hyundai,Elantra,2024,19,0.9
Hyundai,Ioniq 5,2022,377,1.05
Hyundai,Ioniq 5,2023,227,1.0
Hyundai,Ioniq 5,2024,34,0.9
Hyundai,Kona,2018,75,0.95
Hyundai,Kona,2019,163,1.0
Hyundai,Kona,2020,132,0.95
Hyundai,Kona,2021,89,0.95
Hyundai,Kona,2022,94,0.95
Hyundai,Kona,2023,63,0.95
Hyundai,Kona,2024,24,0.9
Hyundai,Palisade,2020,404,1.05
Hyundai,Palisade,2021,291,1.0
Hyundai,Palisade,2022,200,1.0
Hyundai,Palisade,2023,317,1.05
Hyundai,Palisade,2024,172,1.0
Hyundai,Santa Fe,2010,315,1.05
Hyundai,Santa Fe,2011,262,1.0
Hyundai,Santa Fe,2012,459,1.05
Hyundai,Santa Fe,2013,791,1.1
Hyundai,Santa Fe,2014,648,1.1
Hyundai,Santa Fe,2015,320,1.05
Hyundai,Santa Fe,2016,274,1.0
Hyundai,Santa Fe,2017,1018,1.15
Hyundai,Santa Fe,2018,108,0.95
Hyundai,Santa Fe,2019,188,1.0
Hyundai,Santa Fe,2020,152,1.0
Hyundai,Santa Fe,2021,177,1.0
Hyundai,Santa Fe,2022,176,1.0
Hyundai,Santa Fe,2023,152,1.0
Hyundai,Santa Fe,2024,51,0.95
Hyundai,Sonata,2010,406,1.05
Hyundai,Sonata,2011,4498,1.2
Hyundai,Sonata,2012,2166,1.2
Hyundai,Sonata,2013,2446,1.2
Hyundai,Sonata,2014,985,1.1
Hyundai,Sonata,2015,1450,1.15
Hyundai,Sonata,2016,798,1.1
Hyundai,Sonata,2017,806,1.1
Hyundai,Sonata,2018,376,1.05
Hyundai,Sonata,2019,134,0.95
Hyundai,Sonata,2020,162,1.0
Hyundai,Sonata,2021,87,0.95
Hyundai,Sonata,2022,85,0.95
Hyundai,Sonata,2023,74,0.95
Hyundai,Sonata,2024,13,0.9
Hyundai,Tucson,2010,73,0.95
Hyundai,Tucson,2011,164,1.0
Hyundai,Tucson,2012,310,1.05
Hyundai,Tucson,2013,307,1.05
Hyundai,Tucson,2014,225,1.0
Hyundai,Tucson,2015,286,1.0
Hyundai,Tucson,2016,1976,1.15
Hyundai,Tucson,2017,1218,1.15
Hyundai,Tucson,2018,394,1.05
Hyundai,Tucson,2019,390,1.05
Hyundai,Tucson,2020,143,0.95
Hyundai,Tucson,2021,53,0.95
Hyundai,Tucson,2022,340,1.05
Hyundai,Tucson,2023,115,0.95
Hyundai,Tucson,2024,54,0.95
Infiniti,Q50,2014,234,1.0
Infiniti,Q50,2015,144,0.95
Infiniti,Q50,2016,40,0.9
Infiniti,Q50,2017,66,0.95
Infiniti,Q50,2018,38,0.9
Infiniti,Q50,2019,40,0.9
Infiniti,Q50,2020,3,0.9
Infiniti,Q50,2021,5,0.9
Infiniti,Q50,2022,1,0.9
Infiniti,Q50,2023,4,0.9
Infiniti,QX50,2014,5,0.9
Infiniti,QX50,2015,3,0.9
Infiniti,QX50,2016,26,0.9
Infiniti,QX50,2017,14,0.9
Infiniti,QX50,2019,84,0.95
Infiniti,QX50,2020,20,0.9
Infiniti,QX50,2021,14,0.9
Infiniti,QX50,2022,13,0.9
Infiniti,QX50,2023,3,0.9
Infiniti,QX60,2014,249,1.0
Infiniti,QX60,2015,108,0.95
Infiniti,QX60,2016,34,0.9
Infiniti,QX60,2017,84,0.95
Infiniti,QX60,2018,40,0.9
Infiniti,QX60,2019,39,0.9
Infiniti,QX60,2020,22,0.9
Infiniti,QX60,2022,19,0.9
Infiniti,QX60,2023,37,0.9
Infiniti,QX60,2024,6,0.9
